type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
CASH_OUT,140421.18,C1667570766,16004,0,C2102410298,0,140421.18,0
CASH_OUT,216666.53,C1495945377,50398,0,C814408370,10119297.16,10335963.7,0
CASH_OUT,234636.2,C269129885,74262,0,C1389815469,166046.48,400682.68,0
CASH_IN,52816.29,C129678616,117751,170567.29,C842027837,0,0,0
CASH_OUT,63871.25,C1282823885,6012,0,C1236511065,456488.36,520359.6,0
CASH_OUT,258925.05,C1204988090,368,0,C1536014079,177411.74,436336.78,0
CASH_OUT,372274.74,C56106669,69937,0,C1696566918,363379.39,735654.13,0
CASH_IN,111091.45,C1373122979,281384,392475.45,C1743804912,0,0,0
CASH_IN,260353.49,C803657067,30439,290792.49,C1487654592,0,0,0
TRANSFER,523047.76,C2107850581,30337,0,C1178133075,0,523047.76,0
CASH_IN,161253.07,C1053686586,31906,193159.07,C1708145470,2152549.66,1991296.6,0
CASH_OUT,196744.3,C780697705,416464,219719.7,C2106419122,0,196744.3,0
CASH_OUT,165387.99,C937182558,123441,0,C1877817663,1411017.51,1576405.5,0
CASH_OUT,86833.18,C1398902119,146,0,C532552287,0,86833.18,0
CASH_OUT,41439.42,C35956762,29542,0,C887144586,42041.73,83481.15,0
CASH_OUT,106817.99,C1757805567,20478,0,C1517191295,0,106817.99,0
PAYMENT,1826.57,C1038525708,11538,9711.43,M1647517026,0,0,0
PAYMENT,11254.15,C1173364038,50586,39331.85,M36506628,0,0,0
CASH_IN,113798.47,C183179144,59306,173104.47,C1793640116,235713.53,121915.05,0
CASH_OUT,191910.5,C1883886522,80729,0,C386191921,0,191910.5,0
PAYMENT,3717.03,C899087064,60210,56492.97,M1597087042,0,0,0
CASH_OUT,123695.48,C229934715,11197,0,C996340267,2521063.79,2644759.28,0
CASH_OUT,160532.96,C870207604,8664,0,C702798422,0,160532.96,0
TRANSFER,38866.63,C823934189,146992,108125.37,C2049682948,0,38866.63,0
PAYMENT,4386.08,C1653894145,16921,12534.92,M1270528374,0,0,0
CASH_OUT,114040.84,C178654597,145140,31099.16,C97835552,79980.54,194021.38,0
PAYMENT,9739.81,C1519235944,94518,84778.19,M465053788,0,0,0
CASH_OUT,109154.38,C97993556,13077,0,C1841368891,831896.5,941050.88,0
PAYMENT,2122.92,C1067957326,99569,97446.08,M143023649,0,0,0
PAYMENT,16252.59,C1378250149,918,0,M1842628950,0,0,0
PAYMENT,19133.28,C1871957358,5031,0,M1440670187,0,0,0
TRANSFER,707875.34,C888464816,11663,0,C168180695,0,707875.34,0
CASH_IN,260632.34,C2074444929,150,260782.34,C2130612491,99712.18,0,0
CASH_IN,222987.23,C179101222,5290,228277.23,C505516952,433622.7,210635.47,0
CASH_IN,120935.5,C685750049,15861,136796.5,C819496599,93649.76,0,0
CASH_OUT,30075.14,C999628527,20931,0,C1290764514,150126.68,180201.82,0
CASH_OUT,338791.47,C1824724112,10619,0,C1351118277,0,338791.47,0
PAYMENT,3525.56,C15907520,20164,16638.44,M1438741312,0,0,0
CASH_OUT,38314.83,C1177578865,559,0,C1559151605,4228662.7,4266977.54,0
CASH_OUT,262653.43,C849581747,147,0,C1518473322,428448.87,691102.3,0
CASH_IN,216818.08,C663887517,72117,288935.08,C1234453383,4221367.47,4004549.39,0
TRANSFER,383769.18,C2031559260,70433,0,C658906729,303352.52,687121.7,0
PAYMENT,354.19,C1015649258,11107,10752.81,M305241286,0,0,0
CASH_OUT,129890.76,C627052267,50605,0,C612267732,299319.57,429210.32,0
PAYMENT,18746.81,C1705364953,300672,281925.19,M356713540,0,0,0
PAYMENT,29219.2,C185236870,29033,0,M775433562,0,0,0
CASH_IN,40966.06,C1698231873,20528,61494.06,C1618627322,865574.48,824608.42,0
CASH_OUT,90992.92,C1750384518,288594,197601.08,C402804509,5463955.27,5554948.19,0
CASH_IN,135363.14,C812259655,3325,138688.14,C1088819,0,0,0
PAYMENT,22277.89,C1599578349,21076,0,M2105528248,0,0,0
CASH_OUT,1143.38,C807069470,62408,61264.62,C847642417,1239075.06,1240218.44,0
CASH_IN,73529.43,C1348104315,11363,84892.43,C1002314184,822895.21,749365.77,0
TRANSFER,312838.69,C845734485,51486,0,C1587618837,739524.83,1052363.52,0
PAYMENT,6136.17,C837413295,13612,7475.83,M1454164635,0,0,0
CASH_IN,24132.7,C1442226589,31302,55434.7,C1626515437,0,0,0
CASH_IN,143571.54,C553229116,24648,168219.54,C141922192,410191.51,266619.96,0
CASH_IN,288983.81,C1587784221,231,289214.81,C1824613712,15056.7,0,0
CASH_OUT,187046.64,C1860918080,626,0,C2119045971,3627701.39,3814748.03,0
CASH_OUT,283147.44,C250733897,21417,0,C1238415826,0,283147.44,0
PAYMENT,18238.87,C1648209872,256312,238073.13,M554504904,0,0,0
PAYMENT,20867.33,C352873714,157308,136440.67,M349309111,0,0,0
CASH_IN,157717.55,C454981330,16762,174479.55,C1391859568,271450.65,113733.1,0
TRANSFER,422338.21,C1380760619,107253,0,C904078112,1249402.58,1671740.79,0
CASH_IN,176622.67,C83178860,111279,287901.67,C670215349,0,0,0
CASH_OUT,194433.81,C6689525,61863,0,C764418330,431608.61,626042.42,0
CASH_OUT,195224.35,C1747344589,150,0,C119090572,264939.75,460164.1,0
PAYMENT,4764.21,C1597769734,113004,108239.79,M1926170840,0,0,0
CASH_OUT,100766.96,C1108237774,199849,99082.04,C1578069483,97187.66,197954.63,0
CASH_OUT,602.74,C404009334,7068,6465.26,C1935021992,0,602.74,0
PAYMENT,5041.76,C668464714,489292,484250.24,M768910240,0,0,0
PAYMENT,6890.2,C495217657,207437,200546.8,M547808830,0,0,0
CASH_IN,182184.56,C953885126,1126,183310.56,C542702403,0,0,0
CASH_OUT,24624.82,C815418590,21653,0,C182607676,7267792.39,7292417.22,0
CASH_OUT,36970.07,C251601559,59569,22598.93,C102912158,62236.47,99206.54,0
CASH_IN,76859.9,C427795040,15497,92356.9,C1908682936,3937685.73,3860825.84,0
PAYMENT,24592.07,C2018207128,103466,78873.93,M450181875,0,0,0
PAYMENT,6437.71,C1841911972,10510,4072.29,M155294687,0,0,0
PAYMENT,4615.35,C713377994,27829,23213.65,M431287755,0,0,0
CASH_IN,60683.02,C1050647073,61110,121793.02,C1174256228,731589.88,670906.86,0
PAYMENT,8462.25,C998596942,436116,427653.75,M994487788,0,0,0
PAYMENT,9522.78,C86169082,90,0,M1202588141,0,0,0
PAYMENT,7222.98,C1471254343,133,0,M1494638992,0,0,0
CASH_OUT,133461.82,C1250488909,99543,0,C467504438,0,133461.82,0
CASH_IN,76424.02,C2111728528,772,77196.02,C1368218440,1541718.34,1465294.31,0
CASH_OUT,87213.36,C651040987,49173,0,C560844882,0,87213.36,0
PAYMENT,13554.7,C1287583603,90527,76972.3,M1093234227,0,0,0
CASH_IN,70358.98,C1327828845,16898,87256.98,C184675835,40397.01,0,0
PAYMENT,3301.16,C435936914,70048,66746.84,M583382961,0,0,0
PAYMENT,15977.64,C680992044,29356,13378.36,M1328423220,0,0,0
CASH_OUT,48575.31,C149321997,26429,0,C1150600761,34132.48,82707.79,0
PAYMENT,17492.98,C126959519,2073,0,M394214460,0,0,0
PAYMENT,8209.57,C702974054,84340,76130.43,M317960774,0,0,0
CASH_OUT,179155.43,C470817344,20739,0,C911140448,284225.93,463381.35,0
PAYMENT,633.75,C1927301922,53068,52434.25,M1868056736,0,0,0
PAYMENT,10592.29,C1622587023,33561,22968.71,M2087215811,0,0,0
CASH_OUT,74133.26,C203525943,117544,43410.74,C1272389165,0,74133.26,0
CASH_OUT,232133.56,C554814299,20515,0,C538466208,345996.02,578129.58,0
PAYMENT,10058.51,C1959138104,13361,3302.49,M1267144985,0,0,0
CASH_IN,52411.33,C1264549737,82346,134757.33,C659226919,1462021.45,1409610.11,0
PAYMENT,1471.31,C1681604170,144,0,M539012646,0,0,0
CASH_OUT,114490.95,C1394353386,70789,0,C1831439983,0,114490.95,0
CASH_OUT,78157.33,C1669901783,90167,12009.67,C1081772952,0,78157.33,0
CASH_OUT,26040.76,C1585190530,425,0,C146317217,328327.48,354368.24,0
PAYMENT,20675.07,C2072560373,41274,20598.93,M1233224218,0,0,0
CASH_IN,148738.26,C1874950376,69950,218688.26,C221816443,3247761.23,3099022.98,0
CASH_OUT,176240.93,C1362602900,69200,0,C161402474,423736.8,599977.72,0
CASH_IN,298354.19,C1821721645,10526,308880.19,C1986092083,771627.72,473273.53,0
CASH_IN,357792.5,C692165367,605,358397.5,C1782247167,214646.08,0,0
PAYMENT,13275.52,C1302573327,25902,12626.48,M564451364,0,0,0
PAYMENT,17001.85,C1733706769,9028,0,M1113979950,0,0,0
CASH_OUT,107868.6,C303957668,124973,17104.4,C599029060,0,107868.6,0
PAYMENT,18486,C360483131,19053,567,M1088364873,0,0,0
CASH_OUT,210666.44,C766910960,51568,0,C932167112,0,210666.44,0
CASH_OUT,137648.03,C1342126532,65837,0,C1737479839,58954.89,196602.92,0
CASH_OUT,137972.96,C1052460113,21531,0,C1741196129,1707955.73,1845928.68,0
CASH_OUT,315488.81,C131592102,52978,0,C58314955,467211.01,782699.82,0
CASH_OUT,110159.18,C460519181,52880,0,C428881824,695.75,110854.93,0
CASH_OUT,7595.88,C762698942,185872,178276.12,C1973435097,190795.43,198391.3,0
CASH_OUT,211381.59,C1233685645,41642,0,C1849156860,0,211381.59,0
CASH_OUT,8256.68,C1905979589,5684,0,C822311345,450305.26,458561.94,0
PAYMENT,15972.41,C2111617892,305212,289239.59,M2127497293,0,0,0
CASH_IN,216348.59,C1932402685,241926,458274.59,C217901482,102637.18,0,0
CASH_IN,6183.34,C1427424645,31362,37545.34,C478620687,0,0,0
CASH_IN,7690.24,C1300972504,41708,49398.24,C1774876513,361381.78,353691.53,0
CASH_IN,287886.12,C1266722628,227422,515308.12,C112023229,7004998.18,6717112.06,0
CASH_OUT,79889.19,C1221761086,166,0,C1335352607,0,79889.19,0
CASH_OUT,228224.88,C999900236,298795,70570.12,C2079907770,0,228224.88,0
CASH_IN,196322.91,C739988836,9906,206228.91,C762040802,0,0,0
CASH_OUT,99090.33,C1651469604,10499,0,C2093920385,0,99090.33,0
PAYMENT,535.36,C1050675775,48828,48292.64,M1340772995,0,0,0
PAYMENT,12993.65,C967593583,30226,17232.35,M540213811,0,0,0
PAYMENT,16532.77,C519837176,29732,13199.23,M85586478,0,0,0
PAYMENT,727.52,C1587354580,797,69.48,M1720166574,0,0,0
TRANSFER,635246.4,C413803091,5080,0,C75463342,0,635246.4,0
CASH_IN,174140.92,C1390947306,30149,204289.92,C1831094942,55808.75,0,0
CASH_IN,101585.64,C1679673816,150,101735.64,C1530715857,0,0,0
CASH_IN,187675.05,C1065672493,272,187947.05,C194725225,0,0,0
CASH_OUT,83734.5,C1987435060,69633,0,C363032784,170680.75,254415.25,0
CASH_OUT,76959.62,C1699813483,20607,0,C1389943806,0,76959.62,0
CASH_OUT,226062.7,C1871207952,10655,0,C543601954,0,226062.7,0
TRANSFER,532497.87,C1995217275,2426,0,C1514275236,2135976.77,2668474.64,0
CASH_OUT,98619.45,C781208040,297884,199264.55,C910382142,0,98619.45,0
CASH_IN,144283.4,C1131384337,5463,149746.4,C685756592,19303.3,0,0
CASH_OUT,37766.16,C1849307314,5012,0,C1291424086,19714485.04,19752251.2,0
PAYMENT,23260.8,C2081377103,19264,0,M1358725679,0,0,0
CASH_IN,62367.87,C1868333351,120834,183201.87,C1196187420,0,0,0
CASH_OUT,66850,C1356633054,10524,0,C207583713,0,66850,0
CASH_OUT,91757.76,C1443889081,327022,235264.24,C474543633,391335.25,483093.02,0
TRANSFER,307691.18,C1658253997,390,0,C1853033548,0,307691.18,0
CASH_OUT,148837.91,C1762132585,172111,23273.09,C750912847,0,148837.91,0
TRANSFER,679052.85,C1576939253,119,0,C1153348613,0,679052.85,0
CASH_IN,333177.91,C1957032132,51439,384616.91,C459813085,0,0,0
CASH_OUT,120573.41,C565389159,20747,0,C1385749222,162284.64,282858.05,0
CASH_OUT,182033.45,C142701170,499270,317236.55,C1464710305,0,182033.45,0
CASH_OUT,218386.59,C606370833,33127,0,C1713553243,389214.63,607601.22,0
PAYMENT,6376.27,C2136771457,10960,4583.73,M1198265106,0,0,0
CASH_OUT,207545.62,C1149107055,30394,0,C106167289,110819.47,318365.09,0
CASH_IN,103920.93,C1136579333,425,104345.93,C514161418,752876.77,648955.84,0
TRANSFER,266586.18,C1478838384,52886,0,C983000737,157933.9,424520.08,0
PAYMENT,337.16,C2138453221,15856,15518.84,M1425739495,0,0,0
CASH_OUT,35111.67,C1642645894,2017,0,C79318551,67045.2,102156.87,0
CASH_IN,224596.1,C335313667,32532,257128.1,C443708527,709496.25,484900.15,0
CASH_IN,45833.6,C1566811269,198,46031.6,C538299987,275199.05,229365.44,0
CASH_IN,70938.91,C1373832696,117418,188356.91,C564376950,47568.73,0,0
PAYMENT,12620.89,C1994408635,343599,330978.11,M112462599,0,0,0
PAYMENT,9754,C1177796824,67279,57525,M255250723,0,0,0
CASH_IN,191701.78,C2075639780,32012,223713.78,C1093723175,524237.11,332535.34,0
TRANSFER,192663.66,C1576890278,10359,0,C1770178959,16002.18,208665.84,0
CASH_OUT,250543.63,C93340097,41939,0,C1356731142,0,250543.63,0
CASH_OUT,294705.39,C1016473497,23602,0,C1307045419,0,294705.39,0
PAYMENT,11681.15,C2048456560,41248,29566.85,M1286485962,0,0,0
CASH_OUT,128276.98,C1261959639,544,0,C1858645617,0,128276.98,0
PAYMENT,16913.62,C1175496135,67253,50339.38,M2072934658,0,0,0
PAYMENT,1260.05,C1176699358,108193,106932.95,M850305420,0,0,0
CASH_OUT,58577.91,C1901270147,3718,0,C963144490,0,58577.91,0
PAYMENT,5567.12,C2031957442,50097,44529.88,M669968078,0,0,0
CASH_IN,230747.91,C1619759486,132140,362887.91,C1219220249,26896.82,0,0
CASH_OUT,60688.69,C160786144,19810,0,C508117810,456614.41,517303.1,0
DEBIT,3227.65,C431415605,103044,99816.35,C1630795317,1839134.57,1842362.22,0
CASH_OUT,8801.23,C1237232731,21008,12206.77,C1204238696,85340.99,94142.21,0
CASH_IN,97565.2,C1971508339,19721,117286.2,C813213780,0,0,0
